company_name,high,low,last_price,prev_close,change,percent_gain
Aditya Birla F,315.85,307.00,311.35,308.00,3.35,1.09
Ingersoll Rand,"1,350.00","1,310.00","1,345.60","1,331.40",14.20,1.07
Wipro,651.65,633.05,646.65,639.80,6.85,1.07
Polyplex Corp,"1,869.85","1,825.00","1,846.55","1,827.10",19.45,1.06
V-Mart Retail,"4,023.45","3,920.00","3,983.15","3,941.35",41.80,1.06
GNFC,499.90,483.80,494.35,489.25,5.10,1.04
Fortis Health,289.90,283.55,289.40,286.45,2.95,1.03
Gujarat Fluoro,"2,840.00","2,782.75","2,826.45","2,798.45",28.00,1
Bharat Dynamics,457.00,438.00,442.10,437.75,4.35,0.99
Balkrishna Ind,"2,520.55","2,470.05","2,514.25","2,489.75",24.50,0.98
IDBI Bank,53.20,51.80,52.10,51.60,0.50,0.97
Ramco Cements,"1,034.15",992.00,"1,021.60","1,011.90",9.70,0.96
L&T Finance,80.50,79.35,80.10,79.35,0.75,0.95
VST,"3,235.30","3,195.00","3,228.65","3,198.45",30.20,0.94
Happiest Minds ,"1,350.00","1,325.65","1,337.85","1,325.65",12.20,0.92
NTPC,137.35,134.45,136.60,135.35,1.25,0.92
AU Small Financ,"1,284.95","1,259.65","1,273.90","1,262.40",11.50,0.91
HPCL,330.40,325.40,327.95,325.00,2.95,0.91
ITC,225.60,221.35,224.60,222.60,2.00,0.9
MRF,"77,185.45","75,800.05","76,822.20","76,134.65",687.55,0.9
Rashtriya Chem,85.45,83.10,83.95,83.20,0.75,0.9
Bajaj Finserv,"18,435.00","18,221.00","18,370.60","18,209.70",160.90,0.88
ACC,"2,391.00","2,301.00","2,378.65","2,358.10",20.55,0.87
Eicher Motors,"2,880.00","2,804.00","2,844.30","2,819.70",24.60,0.87
Quess Corp,812.95,793.85,804.85,798.00,6.85,0.86
Amber Enterpris,"3,510.00","3,373.70","3,483.30","3,453.80",29.50,0.85
IOL Chemicals,473.40,457.45,467.00,463.10,3.90,0.84
HUDCO,44.10,42.35,42.70,42.35,0.35,0.83
NHPC,31.70,31.25,31.45,31.20,0.25,0.8
Navin Fluorine,"4,269.25","4,181.65","4,233.45","4,199.70",33.75,0.8
Aarti Ind,"1,118.00","1,092.95","1,106.80","1,098.15",8.65,0.79
Muthoot Finance,"1,500.00","1,480.00","1,496.25","1,484.85",11.40,0.77
UCO Bank,13.40,13.25,13.30,13.20,0.10,0.76
Guj State Petro,320.00,311.50,315.60,313.25,2.35,0.75
HDFC AMC,"2,494.60","2,463.30","2,489.15","2,470.60",18.55,0.75
Heidelberg Cem,240.00,235.00,239.25,237.50,1.75,0.74
Jindal Stainles,210.55,205.00,206.50,205.00,1.50,0.73
Bank of Mah,21.30,20.95,21.05,20.90,0.15,0.72
WABCO India,"8,584.95","8,400.20","8,513.40","8,452.40",61.00,0.72
Ujjivan Financi,152.00,148.00,149.55,148.50,1.05,0.71
Kalpataru Power,393.00,387.00,389.00,386.30,2.70,0.7
Godrej Prop,"1,989.90","1,938.00","1,977.95","1,964.35",13.60,0.69
Minda Ind,"1,185.00","1,151.90","1,157.95","1,150.00",7.95,0.69
Godrej Consumer,934.80,908.00,924.95,918.75,6.20,0.67
MRPL,45.45,45.00,45.25,44.95,0.30,0.67
Hind Copper,141.60,136.75,137.55,136.65,0.90,0.66
CESC,94.50,92.95,93.15,92.55,0.60,0.65
Future Consumer,7.75,7.60,7.70,7.65,0.05,0.65
MphasiS,"3,300.00","3,202.10","3,284.65","3,263.70",20.95,0.64
CRISIL,"3,014.95","2,942.00","3,001.75","2,982.85",18.90,0.63
CSB Bank,245.00,243.25,244.45,242.95,1.50,0.62
Godrej Ind,638.60,628.30,634.90,631.10,3.80,0.6
Berger Paints,778.70,758.55,775.90,771.35,4.55,0.59
L&T Technology,"5,602.45","5,520.00","5,575.15","5,542.40",32.75,0.59
Natco Pharma,944.00,922.10,927.75,922.35,5.40,0.59
Prince Pipes,739.40,715.55,736.15,731.85,4.30,0.59
Dish TV,17.80,17.35,17.40,17.30,0.10,0.58
CenturyPlyboard,657.30,640.20,652.15,648.50,3.65,0.56
Gujarat Pipavav,101.00,99.20,99.75,99.20,0.55,0.55
SpiceJet,65.20,63.75,64.25,63.90,0.35,0.55
Tata Coffee,225.70,218.70,221.45,220.25,1.20,0.54
ITI,121.30,119.80,120.40,119.75,0.65,0.54
BPCL,404.40,398.60,400.55,398.45,2.10,0.53
Infosys,"1,953.90","1,930.50","1,939.50","1,929.35",10.15,0.53
Tata Inv Corp,"1,564.00","1,522.75","1,538.30","1,530.25",8.05,0.53
Pidilite Ind,"2,720.15","2,676.90","2,714.55","2,700.55",14.00,0.52
Reliance,"2,565.00","2,537.00","2,552.25","2,539.00",13.25,0.52
IIFL Finance,320.00,311.00,313.70,312.10,1.60,0.51
Federal Bank,100.50,99.20,100.00,99.50,0.50,0.5
INOX Leisure,383.50,374.00,380.55,378.70,1.85,0.49
Sundaram-Clayto,"3,965.60","3,900.00","3,909.85","3,890.75",19.10,0.49
Schneider Infra,117.45,115.60,116.05,115.50,0.55,0.48
Jyothy Labs,144.45,142.70,143.10,142.45,0.65,0.46
SKF India,"4,017.65","3,931.00","3,990.75","3,972.55",18.20,0.46
United Brewerie,"1,671.00","1,648.10","1,663.70","1,656.05",7.65,0.46
REC,140.45,138.90,139.80,139.20,0.60,0.43
Affle India,"1,504.00","1,462.90","1,486.45","1,480.30",6.15,0.42
Asian Paints,"3,399.00","3,321.00","3,378.65","3,364.40",14.25,0.42
KPR Mill,768.00,745.35,759.50,756.35,3.15,0.42
Sunteck Realty,583.95,570.00,573.05,570.70,2.35,0.41
Tata Comm,"1,591.95","1,540.00","1,551.60","1,545.25",6.35,0.41
Adani Enterpris,"1,901.40","1,855.65","1,877.80","1,870.25",7.55,0.4
HDFC Life,675.55,668.00,674.15,671.45,2.70,0.4
Tube Investment,"1,817.35","1,790.10","1,802.10","1,794.85",7.25,0.4
Indiabulls Hsg,224.25,220.65,222.55,221.70,0.85,0.38
Mazagon Dock,279.95,277.00,277.40,276.35,1.05,0.38
Mah Scooters,"4,064.95","4,000.00","4,010.75","3,995.70",15.05,0.38
Chambal Fert,477.65,468.20,470.65,468.90,1.75,0.37
